tiktoker name,tiktok name,followers,views(avg.),likes(avg.),comments(avg.),shares(avg.)
ekin.721,momo’s,221.7k,26m,2.8m,29.4k,116.4k
dojacat,doja cat,22.2m,25.4m,5m,36.7k,46.8k
kiet.ac.quy,kiệt ắk wỷ,2.1m,20.7m,3.5m,38.8k,33.9k
charlidamelio,charli d’amelio,135.4m,18.7m,2.6m,54.7k,35.2k
luvadepedreiro,iran ferreira (lai),11.4m,24.8m,2.6m,32.7k,26.8k
badbunny,bad bunny,16.1m,17.6m,4m,28k,26.2k
khaby.lame,khabane lame,135.2m,17.7m,2.3m,18k,11.2k
leomahalo,leo mahalo,6.8m,19m,2.2m,11.8k,14.4k
swagboygorringe,daniel gorringe,5.6m,9.9m,1.8m,25.3k,35.9k
jennmelon,jenn melon,2m,11m,2.3m,15.1k,24.5k
jounggustav,joung gustav,1.9m,16.4m,2.2m,9.9k,13.4k
txt.bighitent,tomorrow x together,16.2m,7.7m,1.8m,33.2k,12.2k
pongamoslo_a_prueba,pongámoslo a prueba,30.4m,16m,2.5m,6.3k,7.3k
bdylanhollis,b. dylan hollis,7.6m,8.6m,1.6m,11.5k,20k
lyczak,👑łyczuu👑,1.5m,11.8m,1.4m,16.1k,8.6k
juandamc,juanda.,17.1m,7.5m,1.7m,9.1k,19.5k
lifeinanimati0n,a <3,745.2k,6.2m,1.1m,8.8k,40.2k
zlusha,zlusha,2m,7.2m,1.1m,12.9k,29.5k
amauryguichon,amaury guichon,5.4m,11m,1.6m,5.8k,13.3k
eupereiraoficial,eu pereira,4.6m,12.2m,1.2m,5.7k,11.5k
druskitv,druski,3.2m,6.4m,1.2m,7.7k,25.9k
adrianbliss,adrian bliss,5.2m,7.7m,1.5m,5.4k,16k
kimberly.loaiza,kimberly loaiza,61m,9.9m,1.3m,14.1k,4.5k
deborahyowa,deborah yowa,10.3m,12.6m,688.7k,17k,9.1k
nekoglai,николай,9.4m,8.5m,982.3k,22.5k,4.4k
domelipa,dominik,50.7m,7.9m,1.2m,17.3k,6.2k
diego.cr_,diego rodríguez,238.1k,9.1m,845k,9.1k,19.5k
addisonre,addison rae,87.3m,9.3m,1.2m,13.4k,5.9k
mastertingus,mastertingus,1.5m,4.2m,859.2k,25.1k,33.8k
santandave,santan,1.1m,6.2m,1m,21.3k,12k
machinegunkelly,colson,3.4m,10.8m,822.6k,13.7k,9k
bellapoarch,bella poarch,88.5m,11.1m,1m,14.3k,1.6k
daddyyankee,daddyyankee,10.4m,6m,696.3k,18.1k,20.6k
official_nct,nct official,7.3m,3.2m,1.2m,23.1k,17.6k
zeth,zeth,10.8m,6.6m,1.3m,4.1k,12.8k
